line_id,game_id,,spread,moneyline_odds,over_under
1,2024090501,16,,,
2,2024090501,3,,,
3,2024090601,12,,,
4,2024090601,26,,,
5,2024090801,2,,,
6,2024090801,27,,,
7,2024090802,4,,,
8,2024090802,1,,,
9,2024090803,6,,,
10,2024090803,31,,,
11,2024090804,7,,,
12,2024090804,22,,,
13,2024090805,14,,,
14,2024090805,13,,,
15,2024090806,20,,,
16,2024090806,15,,,
17,2024090807,23,,,
18,2024090807,5,,,
19,2024090808,24,,,
20,2024090808,21,,,
21,2024090809,18,,,
22,2024090809,17,,,
23,2024090810,29,,,
24,2024090810,10,,,
25,2024090811,8,,,
26,2024090811,9,,,
27,2024090812,30,,,
28,2024090812,32,,,
29,2024090813,11,,,
30,2024090813,19,,,
31,2024090901,28,,,
32,2024090901,25,,,
